role_name,required_skill,importance_score
QA Engineer,software quality assurance,0.08
QA Engineer,test planning,0.07
QA Engineer,javascript,0.06
QA Engineer,jira,0.06
QA Engineer,quality assurance,0.06
QA Engineer,test automation,0.06
QA Engineer,web technologies,0.06
QA Engineer,android,0.05
QA Engineer,appium,0.05
QA Engineer,html,0.05
QA Engineer,jenkins,0.05
QA Engineer,linux,0.05
QA Engineer,manager quality assurance,0.05
QA Engineer,quality assurance engineering,0.05
QA Engineer,test scripts,0.05
QA Engineer,testing tools,0.05
QA Engineer,unix,0.05
QA Engineer,xml,0.05
Software Engineer,javascript,0.31
Software Engineer,jquery,0.21
Software Engineer,html,0.18
Software Engineer,java,0.18
Software Engineer,sql,0.18
Software Engineer,mysql,0.17
Software Engineer,mvc,0.15
Software Engineer,php,0.15
Software Engineer,.net,0.14
Software Engineer,ajax,0.13
Software Engineer,asp.net,0.11
Software Engineer,hibernate,0.11
Software Engineer,python,0.11
Software Engineer,core java,0.1
Software Engineer,css,0.09
Software Engineer,j2ee,0.09
Software Engineer,xml,0.09
Software Engineer,coding,0.08
Software Engineer,development,0.08
Software Engineer,linux,0.08
Software Engineer,object oriented programming,0.08
Software Engineer,software development,0.08
Software Engineer,spring,0.08
Software Engineer,web services,0.08
Software Engineer,web technologies,0.08
Software Engineer,agile,0.07
Software Engineer,computer science,0.07
Software Engineer,design,0.07
Software Engineer,software,0.07
Software Engineer,sql server,0.07
Software Engineer,web,0.07
Software Engineer,c++,0.06
Software Engineer,oracle,0.06
Software Engineer,programming,0.06
Software Engineer,angularjs,0.05
Software Engineer,data structures,0.05
Software Engineer,debugging,0.05
Software Engineer,json,0.05
Software Engineer,rest,0.05
Software Engineer,software engineering,0.05
Software Engineer,wcf,0.05
Software Engineer,wordpress,0.05
Solutions Architect,solution architect,0.19
Solutions Architect,technical architect,0.18
Solutions Architect,java,0.17
Solutions Architect,solution architecture,0.15
Solutions Architect,javascript,0.13
Solutions Architect,cloud,0.1
Solutions Architect,j2ee,0.1
Solutions Architect,architecture,0.09
Solutions Architect,hibernate,0.08
Solutions Architect,html,0.08
Solutions Architect,aws,0.07
Solutions Architect,presales,0.07
Solutions Architect,spring,0.07
Solutions Architect,sql,0.07
Solutions Architect,oracle,0.06
Solutions Architect,solution design,0.06
Solutions Architect,technical architecture,0.06
Solutions Architect,xml,0.06
Solutions Architect,.net,0.05
Solutions Architect,azure,0.05
Solutions Architect,coding,0.05
Solutions Architect,consulting,0.05
Solutions Architect,crm,0.05
Solutions Architect,css,0.05
Solutions Architect,data modeling,0.05
Solutions Architect,design patterns,0.05
Solutions Architect,jboss,0.05
Solutions Architect,mysql,0.05
Solutions Architect,sap,0.05
Solutions Architect,soa,0.05
Solutions Architect,spring boot,0.05
Solutions Architect,struts,0.05
Solutions Architect,web services,0.05
System Administrator,technical support,0.68
System Administrator,customer service,0.24
System Administrator,outbound,0.19
System Administrator,networking,0.16
System Administrator,technical support executive,0.15
System Administrator,bpo,0.14
System Administrator,international bpo,0.14
System Administrator,troubleshooting,0.14
System Administrator,voice process,0.14
System Administrator,customer support,0.12
System Administrator,inbound calls,0.12
System Administrator,us shift,0.12
System Administrator,tech support,0.1
System Administrator,technical,0.1
System Administrator,bonus,0.09
System Administrator,comp,0.09
System Administrator,inbound,0.09
System Administrator,windows,0.09
System Administrator,linux,0.08
System Administrator,process,0.08
System Administrator,active directory,0.07
System Administrator,business executive,0.07
System Administrator,communication skills,0.07
System Administrator,service,0.07
System Administrator,system administration,0.07
System Administrator,technical support engineer,0.07
System Administrator,antivirus,0.06
System Administrator,calling,0.06
System Administrator,customer relationship,0.06
System Administrator,desktop support,0.06
System Administrator,dns,0.06
System Administrator,fresher,0.06
System Administrator,it support,0.06
System Administrator,software,0.06
System Administrator,technical support associate,0.06
System Administrator,voice,0.06
System Administrator,call center,0.05
System Administrator,cce,0.05
System Administrator,customer care,0.05
System Administrator,domestic bpo,0.05
System Administrator,international call center,0.05
System Administrator,international voice process,0.05
System Administrator,night shift,0.05
System Administrator,non voice,0.05
System Administrator,service desk,0.05
System Administrator,sql,0.05
Tech Lead,java,0.22
Tech Lead,javascript,0.2
Tech Lead,technical lead,0.18
Tech Lead,j2ee,0.13
Tech Lead,hibernate,0.12
Tech Lead,sql,0.12
Tech Lead,html,0.11
Tech Lead,python,0.11
Tech Lead,core java,0.1
Tech Lead,linux,0.1
Tech Lead,web services,0.1
Tech Lead,mysql,0.09
Tech Lead,agile,0.08
Tech Lead,ajax,0.08
Tech Lead,design patterns,0.08
Tech Lead,jquery,0.08
Tech Lead,oracle,0.08
Tech Lead,php,0.08
Tech Lead,spring,0.08
Tech Lead,spring boot,0.08
Tech Lead,web technologies,0.08
Tech Lead,json,0.07
Tech Lead,.net,0.06
Tech Lead,node.js,0.06
Tech Lead,rdbms,0.06
Tech Lead,xml,0.06
Tech Lead,coding,0.05
Tech Lead,mongodb,0.05
Tech Lead,mvc,0.05
UI/UX Designer,photoshop,0.47
UI/UX Designer,html,0.46
UI/UX Designer,javascript,0.43
UI/UX Designer,illustrator,0.36
UI/UX Designer,jquery,0.29
UI/UX Designer,web technologies,0.29
UI/UX Designer,css,0.27
UI/UX Designer,web designing,0.22
UI/UX Designer,css3,0.2
UI/UX Designer,html5,0.17
UI/UX Designer,corel draw,0.12
UI/UX Designer,dreamweaver,0.12
UI/UX Designer,web designer,0.12
UI/UX Designer,bootstrap,0.1
UI/UX Designer,design,0.1
UI/UX Designer,wordpress,0.1
UI/UX Designer,xhtml,0.1
UI/UX Designer,graphics,0.09
UI/UX Designer,php,0.09
UI/UX Designer,ajax,0.08
UI/UX Designer,social media,0.07
UI/UX Designer,user interface designing,0.07
UI/UX Designer,business executive,0.06
UI/UX Designer,coding,0.06
UI/UX Designer,graphic designing,0.06
UI/UX Designer,layout,0.06
UI/UX Designer,mysql,0.06
UI/UX Designer,xml,0.06
UI/UX Designer,cms,0.05
UI/UX Designer,creative,0.05
UI/UX Designer,flash,0.05
UI/UX Designer,front end,0.05
UI/UX Designer,interaction design,0.05
UI/UX Designer,joomla,0.05
UI/UX Designer,psd,0.05
UI/UX Designer,ui designer,0.05
UI/UX Designer,visual design,0.05
UI/UX Designer,web design,0.05
UI/UX Designer,website,0.05
iOS Developer,ios,0.68
iOS Developer,swift,0.48
iOS Developer,objective c,0.42
iOS Developer,ios development,0.23
iOS Developer,xml,0.22
iOS Developer,json,0.21
iOS Developer,javascript,0.18
iOS Developer,xcode,0.16
iOS Developer,cocoa,0.15
iOS Developer,core data,0.15
iOS Developer,iphone,0.14
iOS Developer,cocoa touch,0.13
iOS Developer,design,0.12
iOS Developer,sqlite,0.12
iOS Developer,html,0.11
iOS Developer,sdk,0.11
iOS Developer,developer,0.1
iOS Developer,mobile,0.1
iOS Developer,animation,0.09
iOS Developer,c++,0.09
iOS Developer,mobile development,0.09
iOS Developer,application,0.08
iOS Developer,performance tuning,0.08
iOS Developer,android,0.07
iOS Developer,applications,0.07
iOS Developer,computer science,0.07
iOS Developer,development,0.07
iOS Developer,ios sdk,0.07
iOS Developer,iphone sdk,0.07
iOS Developer,jquery,0.07
iOS Developer,memory management,0.07
iOS Developer,mobile applications,0.07
iOS Developer,mysql,0.07
iOS Developer,programming,0.07
iOS Developer,unit testing,0.07
iOS Developer,web,0.07
iOS Developer,web services,0.07
iOS Developer,web technologies,0.07
iOS Developer,debugging,0.06
iOS Developer,level,0.06
iOS Developer,software,0.06
iOS Developer,sql,0.06
iOS Developer,ajax,0.05
iOS Developer,application development,0.05
iOS Developer,backend,0.05
iOS Developer,coding,0.05
iOS Developer,git,0.05
iOS Developer,ipad,0.05
iOS Developer,multithreading,0.05
iOS Developer,mvc,0.05
iOS Developer,object oriented programming,0.05
iOS Developer,php,0.05
iOS Developer,python,0.05
